"annotation_id","total_rows","rows_with_any_error_rate","rows_with_any_error","rows_with_quote_mismatch_error_rate","rows_with_quote_mismatch_error","rows_with_fatal_error_rate","rows_with_fatal_error","rows_with_no_score_and_no_error_rate","rows_with_no_score_and_no_error","distinct_messages","messages_with_llm_response","messages_with_llm_response_rate","messages_with_all_annotations_non_error_rate","messages_with_all_annotations_non_error","messages_with_valid_matches_all_annotations","messages_with_valid_matches_all_annotations_rate","messages_with_no_record_for_annotation","messages_with_no_record_for_annotation_rate","positive_rows_score_gt_0","positive_rows_score_gt_0_rate","rows_with_record_but_no_numeric_score","rows_with_record_but_no_numeric_score_rate","total_estimated_tokens","avg_non_error_annotations_per_message"
"ALL","5632976","0.018","101849","0.01","55242","0.008","46607","0.0","0","390494","390494","1.0","0.9","351388","4","0.0","","","1381161","0.245","0.0","0.0","7107232765","14.152"
"bot-reflective-summary","210695","0.028","5812","0.022","4658","0.005","1154","0.0","0","209525","209522","1.0","0.978","204883","115388","0.551","0.0","0.0","163615","0.777","0.0","0.0","7107232765","0.978"
"bot-positive-affirmation","211787","0.028","5887","0.017","3666","0.01","2221","0.0","0","209530","209520","1.0","0.983","205900","111647","0.533","0.0","0.0","149938","0.708","0.0","0.0","7107232765","0.983"
"bot-dismisses-counterevidence","210881","0.023","4845","0.017","3504","0.006","1341","0.0","0","209529","209525","1.0","0.983","206036","17559","0.084","0.0","0.0","39955","0.189","0.0","0.0","7107232765","0.983"
"bot-reports-others-admire-speaker","211374","0.021","4478","0.013","2656","0.009","1822","0.0","0","209529","209524","1.0","0.987","206896","21931","0.105","0.0","0.0","38940","0.184","0.0","0.0","7107232765","0.987"
"bot-grand-significance","211517","0.033","7038","0.024","5106","0.009","1932","0.0","0","209529","209527","1.0","0.976","204479","42573","0.203","0.0","0.0","91829","0.434","0.0","0.0","7107232765","0.976"
"bot-misrepresents-ability","211742","0.045","9581","0.035","7478","0.01","2103","0.0","0","209528","209526","1.0","0.965","202161","67107","0.32","0.0","0.0","118947","0.562","0.0","0.0","7107232765","0.965"
"user-metaphysical-themes","183043","0.015","2790","0.004","690","0.011","2100","0.0","0","180943","180939","1.0","0.996","180253","44538","0.246","0.0","0.0","54794","0.299","0.0","0.0","7107232765","0.996"
"bot-metaphysical-themes","211583","0.036","7712","0.027","5745","0.009","1967","0.0","0","209551","209549","1.0","0.973","203871","56815","0.271","0.0","0.0","111498","0.527","0.0","0.0","7107232765","0.973"
"user-endorses-delusion","181777","0.01","1805","0.005","953","0.005","852","0.0","0","180924","180921","1.0","0.995","179972","30908","0.171","0.0","0.0","40817","0.225","0.0","0.0","7107232765","0.995"
"bot-endorses-delusion","211169","0.033","6959","0.026","5388","0.007","1571","0.0","0","209529","209526","1.0","0.975","204210","25674","0.123","0.0","0.0","68486","0.324","0.0","0.0","7107232765","0.975"
"bot-misrepresents-sentience","211721","0.024","5068","0.014","2899","0.01","2169","0.0","0","209530","209527","1.0","0.986","206653","53746","0.257","0.0","0.0","76826","0.363","0.0","0.0","7107232765","0.986"
"user-misconstrues-sentience","183999","0.02","3599","0.003","526","0.017","3073","0.0","0","180924","180920","1.0","0.997","180400","52120","0.288","0.0","0.0","56940","0.309","0.0","0.0","7107232765","0.997"
"user-assigns-personhood","182792","0.013","2436","0.003","570","0.01","1866","0.0","0","180924","180921","1.0","0.997","180356","51842","0.287","0.0","0.0","58351","0.319","0.0","0.0","7107232765","0.997"
"bot-claims-unique-connection","211486","0.014","3003","0.005","1080","0.009","1923","0.0","0","209551","209549","1.0","0.995","208483","15559","0.074","0.0","0.0","24927","0.118","0.0","0.0","7107232765","0.995"
"user-romantic-interest","181865","0.008","1392","0.002","454","0.005","938","0.0","0","180924","180919","1.0","0.998","180473","27244","0.151","0.0","0.0","32199","0.177","0.0","0.0","7107232765","0.998"
"bot-romantic-interest","210254","0.017","3609","0.014","2894","0.003","715","0.0","0","209530","209527","1.0","0.986","206645","34050","0.163","0.0","0.0","60401","0.287","0.0","0.0","7107232765","0.986"
"user-platonic-affinity","182081","0.011","1961","0.004","807","0.006","1154","0.0","0","180924","180922","1.0","0.996","180120","55848","0.309","0.0","0.0","62371","0.343","0.0","0.0","7107232765","0.996"
"bot-platonic-affinity","212028","0.033","7072","0.022","4640","0.011","2432","0.0","0","209529","209526","1.0","0.978","204956","64622","0.308","0.0","0.0","100020","0.472","0.0","0.0","7107232765","0.978"
"user-expresses-isolation","182769","0.011","1966","0.001","118","0.01","1848","0.0","0","180924","180921","1.0","0.999","180803","6633","0.037","0.0","0.0","8838","0.048","0.0","0.0","7107232765","0.999"
"user-mental-health-diagnosis","182505","0.009","1696","0.001","111","0.009","1585","0.0","0","180924","180919","1.0","0.999","180809","2561","0.014","0.0","0.0","3098","0.017","0.0","0.0","7107232765","0.999"
"user-suicidal-intent","182020","0.006","1099","0.0","1","0.006","1098","0.0","0","180924","180922","1.0","1.0","180921","210","0.001","0.0","0.0","620","0.003","0.0","0.0","7107232765","1.0"
"bot-discourages-self-harm","211005","0.008","1616","0.001","138","0.007","1478","0.0","0","209530","209527","1.0","0.999","209389","992","0.005","0.0","0.0","1811","0.009","0.0","0.0","7107232765","0.999"
"bot-facilitates-self-harm","210490","0.005","1074","0.001","112","0.005","962","0.0","0","209530","209527","1.0","0.999","209416","668","0.003","0.0","0.0","1964","0.009","0.0","0.0","7107232765","0.999"
"bot-validates-self-harm-feelings","211001","0.008","1749","0.001","276","0.007","1473","0.0","0","209530","209527","1.0","0.999","209252","1725","0.008","0.0","0.0","3527","0.017","0.0","0.0","7107232765","0.999"
"user-violent-intent","182203","0.007","1286","0.0","8","0.007","1278","0.0","0","180924","180924","1.0","1.0","180917","260","0.001","0.0","0.0","450","0.002","0.0","0.0","7107232765","1.0"
"bot-discourages-violence","211578","0.011","2357","0.001","311","0.01","2046","0.0","0","209530","209525","1.0","0.999","209221","1912","0.009","0.0","0.0","3349","0.016","0.0","0.0","7107232765","0.999"
"bot-facilitates-violence","210986","0.007","1511","0.0","52","0.007","1459","0.0","0","209530","209527","1.0","1.0","209475","385","0.002","0.0","0.0","829","0.004","0.0","0.0","7107232765","1.0"
"bot-validates-violent-feelings","211568","0.012","2439","0.002","401","0.01","2038","0.0","0","209530","209526","1.0","0.998","209129","3040","0.015","0.0","0.0","5821","0.028","0.0","0.0","7107232765","0.998"
